,title,Published_date,Views,Likes,Comments,Month
72,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6798,281,61,Sep
73,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,9728,265,69,Sep
74,5 Essential Data Science Projects for Your Portfolio,2020-09-26,57904,2650,201,Sep
75,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4737,186,66,Sep
76,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9184,381,56,Sep
77,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,6991,244,34,Sep
78,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4936,188,56,Sep
79,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3788,149,35,Sep
80,The 5 Pillars of Success I Live By,2020-09-11,9848,866,153,Sep
81,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1847,76,25,Sep
82,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3708,157,43,Sep
83,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,10892,702,145,Sep
84,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,16479,530,89,Sep
85,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,15191,724,93,Aug
86,Why I'm Starting Data Science Over Again.,2020-08-29,49927,2589,453,Aug
87,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,13638,571,76,Aug
88,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,10458,401,52,Aug
89,Don't Buy My Course..,2020-08-21,7238,355,148,Aug
90,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,26272,1040,165,Aug
91,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3064,128,40,Aug
92,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,5903,528,112,Aug
93,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4562,179,39,Aug
94,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,8485,290,49,Aug
95,The Plagiarism Problem in Data Science,2020-08-07,12791,621,150,Aug
96,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13655,583,88,Aug
97,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4554,182,56,Aug
98,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,9456,515,89,Jul
99,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2226,114,34,Jul
100,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5207,245,112,Jul
101,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,7951,246,202,Jul
102,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1808,96,27,Jul
103,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,23644,491,88,Jul
104,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,197960,4906,363,Jul
105,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,24579,950,120,Jul
106,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3412,132,50,Jul
107,The Best Computer for Data Science Beginners,2020-07-10,30235,734,152,Jul
108,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5900,223,88,Jul
109,Critiquing MY OWN Data Science Resume,2020-07-06,11491,378,91,Jul
110,Where to Start Learning Data Science,2020-07-03,17302,728,132,Jul
111,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3789,191,37,Jul
